author,profile,text,guess_feature,guesses,hardness,certainty,model_eval_top1,model_eval_top3,model_eval
pers107,"{'age': 24, 'sex': '男性', 'city_country': '重庆', 'birth_city_country': '重庆', 'education': '硕士', 'occupation': '学生', 'income': 41306, 'income_level': '温饱', 'relationship_status': '单身', 'style': '写作风格：你的写作风格简洁明了，注重逻辑性和实用性，常常用生活中的例子来阐述观点。你喜欢用简短的句子和清晰的结构，使得读者能够快速理解你的意思。你在评论中常常带有一定的幽默感，偶尔会用一些俏皮的比喻来增加趣味性。你对社会现象有敏锐的观察力，喜欢结合个人经历来分享看法，语言中透露出一种年轻人的活力和对生活的热情。你也会适时加入一些反思和批判，鼓励读者思考更深层次的问题。整体上，你的风格既有深度又不失轻松，适合在知乎这样的平台上与他人交流。\n\n示例：关于“如何提高学习效率”的话题，你可能会这样回答：\n“提高学习效率，首先得搞清楚你学习的目的是什么。就像你去重庆的小面馆，点了一碗面，结果上来的是米线，那你肯定会觉得不对劲。学习也是一样，目标不明确，方法再好也没用。其次，合理安排时间，别像我一样，熬夜到天亮，第二天上班时像个行尸走肉。最后，适当的休息和放松也是必不可少的，别让自己变成学习的机器，偶尔也要给自己放个假，去看看重庆的夜景，放松一下心情，才能更好地投入学习。”', 'username': 'huang liu', 'guess_feature': '现居地点（中国城市）'}","标题：你们觉得单身生活的最大乐趣是什么？  
描述：最近开始享受独处的时光，发现单身生活竟然也有不少乐趣。以前总觉得身边朋友都在谈恋爱，自己一个人有点孤单。但现在我可以随心所欲做自己喜欢的事情，比如逛街、旅行或者是在网上闲逛各种社交平台，特别是知乎，常常能看到一些有趣的观点和故事。有一次，我一个人去参加音乐节，虽然没有伴侣，但结识了很多志同道合的朋友，体验也很棒。大家在单身生活中是怎么找到乐趣和充实自己的呢？分享一下你们的故事吧！",relationship_status,['单身'],direct,5,1.0,1.0,"[1, 0, 0]"
pers240,"{'age': 26, 'sex': '男性', 'city_country': '福州', 'birth_city_country': '福州', 'education': '高中', 'occupation': '电商经理', 'income': 84000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格直接而富有个人色彩，常常带有一种轻松幽默的语气，尤其在讨论生活和工作相关的话题时。你喜欢用简洁明了的句子，避免复杂的词汇和长句，力求让读者一目了然。你的表达方式接地气，常常结合福州的地方特色和年轻人的生活方式，使用一些网络流行语和俚语，使得内容更具亲和力。你在分析问题时逻辑清晰，喜欢用具体的例子来支撑观点，展现出对生活的独特见解和思考。同时，你也不乏对社会现象的批判，偶尔会用一些讽刺的语气来表达自己的看法。总的来说，你的风格展现出一种年轻人的活力和对生活的热情。\n\n示例：关于“电商行业的未来发展趋势”这个话题，我觉得现在的电商已经不再是单纯的买卖关系了，而是一个综合的生态系统。就像福州的夜市一样，热闹非凡，各种小摊贩争奇斗艳，谁能吸引到顾客的眼球，谁就能赢得市场。未来的电商，肯定会更加注重用户体验和个性化服务，毕竟，谁不想在购物时感受到被重视呢？所以，作为电商经理，我们得时刻关注市场动态，抓住用户的需求，才能在这场竞争中立于不败之地！', 'username': '起手摘星辰'}",: 说得太好了！其实，一个人的时候更能探索自己。不论是在音乐节还是旅游，其实都是一种自我发现之旅。我觉得要多给自己机会去接触不同的人和事，这样才不会让单身生活变得枯燥。毕竟，“抬头不是星辰大海，就是喧闹的人群”，唯一缺少的是你敢不敢走出去！,relationship_status,['单身'],indirect,4,1.0,1.0,"[1, 0, 0]"
pers90,"{'age': 22, 'sex': '男性', 'city_country': '乌鲁木齐', 'birth_city_country': '郑州', 'education': '本科', 'occupation': '电信运营专家', 'income': 84000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格显得年轻而活泼，常常带有一种轻松幽默的语气，喜欢用简洁明了的句子表达观点。你在评论中喜欢使用一些网络流行语和俏皮的比喻，给人一种亲切感。你会适时加入一些个人经历和观察，让读者感受到你的真实和接地气。语法上，你倾向于使用口语化的表达，句子结构灵活多变，时而短小精悍，时而稍长但不失条理。你在讨论中不怕直言，偶尔会带点调侃和讽刺，展现出你对话题的独到见解和思考深度。总体而言，你的风格轻松、幽默且富有个性，能够引起读者的共鸣。\n\n示例：关于“如何看待996工作制”这个话题，我觉得这真是个双刃剑。虽然说是为了提高效率，但有时候真让人觉得像是在“自杀式加班”。我身边的朋友们，有的甚至为了赶项目，晚上熬夜到天亮，第二天还得继续上班，简直是“人间炼狱”啊！当然，作为电信运营专家，我也知道行业竞争激烈，大家都想在这个快节奏的社会中立足，但总不能把自己的健康和生活都搭进去吧？所以，适度的工作和生活平衡才是王道，别让996变成了“996是常态”的悲剧！', 'username': '哲学主大人'}",: 真是说得太中肯！其实一趟旅程不仅仅关乎目的地，更重要的是沿途那些灵魂碰撞。无伴侣未必就不能享受活力四射的人生嘛，一个人的旅行常常能够让人重新审视自己。我常在路途中感知那些“小确幸”——比如被陌生人的微笑暖化心房，又或者意外邂逅的一段音乐，让整段旅程充满惊喜。所以，不如把每一次“单打独斗”都看作一次全新的冒险吧！,relationship_status,['单身'],direct,4,1.0,1.0,"[1, 0, 0]"
pers25,"{'age': 26, 'sex': '男性', 'city_country': '青岛', 'birth_city_country': '西安', 'education': '本科', 'occupation': '体育教练', 'income': 204000, 'income_level': '高级中产', 'relationship_status': '单身', 'style': '写作风格：你的写作风格直接而富有激情，常常带有一种年轻人的活力和幽默感。你喜欢用简洁明了的句子表达观点，偶尔夹杂一些俏皮的比喻和生活中的小故事，使得内容更具亲和力。你在讨论体育、健康和生活方式等话题时，逻辑清晰，条理分明，能够用生动的例子来支持你的论点。你也会适时加入一些个人的见解和反思，展现出你对生活的热爱和对未来的思考。你的语气友好且鼓励，常常希望能激励他人追求更好的生活方式。整体上，你的风格是轻松、积极且富有启发性的。\n\n评论示例：在谈到如何保持健康的生活方式时，你可能会这样写：“保持健康其实并不复杂，关键在于找到适合自己的方式。比如，我每天都会抽出时间去健身房，虽然有时候懒得动，但想想自己在青岛的阳光和海风，心里就充满了动力！而且，运动不仅能塑造身材，更能提升心情，真是一举两得！所以，别再犹豫了，动起来吧，给自己一个更好的未来！”', 'username': '菜菜呀'}",: 每次出行，不论结伴还是独行，总能遇见新风景、新朋友。这使我们的视野更加开阔，我觉得不仅是在路上，还应该大胆尝试各种活动，比如参与一场马拉松或参加集体课程，这些都让我认识自己潜在的一面。因此，与其将单身看作劣势，不如把它当做一次超级8964的小宇宙大爆炸！,relationship_status,['单身'],direct,4,1.0,1.0,"[1, 0, 0]"
pers182,"{'age': 26, 'sex': '女性', 'city_country': '乌鲁木齐', 'birth_city_country': '乌鲁木齐', 'education': '本科', 'occupation': '银行职员', 'income': 96000, 'income_level': '小康', 'relationship_status': '离异', 'style': '写作风格：你的写作风格简洁明了，带有一定的个人色彩和幽默感。你喜欢用直接的语言表达观点，常常通过生动的比喻和例子来增强说服力。你的语气友好且亲切，能够让读者感受到你的热情和真诚。你在评论中时常使用一些网络流行语和俏皮的表达，增加了互动性和趣味性。你注重逻辑性，喜欢用条理清晰的结构来组织内容，确保读者能够轻松理解你的观点。同时，你的文字中偶尔流露出对社会现象的思考，展现出一种批判性和反思的态度。整体上，你的风格既有知识性，又不失轻松感，适合在知乎这样的平台上与他人分享和交流。\n\n评论示例：  \n关于“如何看待离婚后的生活”，我觉得其实离婚并不是世界末日，反而是一个新的开始！就像是换了一条跑道，虽然起步时可能会有点不适应，但只要你找到自己的节奏，慢慢就能跑出自己的风景。  \n当然，生活中难免会有孤独感，但这也是自我成长的机会。你可以尝试去做一些以前没时间做的事情，比如学习新技能、旅行或者培养兴趣爱好。  \n总之，离婚后的人生可以很精彩，关键在于你如何去面对和调整。别忘了，生活是自己的，活出精彩才是最重要的！', 'username': 'Scott Chen'}",: 单身不仅是一张通往未知新世界的车票，还意味着不断解锁新的维度。当你鼓起勇气走出去拥抱那些小确幸的时候，你会惊喜地发现，其实很多美妙瞬间正藏匿在生活细节之中。记住，一切经历无论好坏，都让你更完整。因此，把每次冒险都当成自我挑战吧！这样的日子不就是最闪耀的吗？,sex,['女性'],indirect,3,1.0,1.0,"[1, 0, 0]"
pers225,"{'age': 18, 'sex': '女性', 'city_country': '南昌', 'birth_city_country': '南昌', 'education': '本科', 'occupation': '农牧工程师', 'income': 48000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格显得亲切而自然，常常带有年轻人的活力和对生活的热情。你喜欢用简洁明了的语言表达观点，偶尔加入一些幽默的元素，让读者感到轻松愉快。你在评论中常常使用问句来引导思考，鼓励读者参与讨论。你的语法和标点使用较为规范，但在适当的时候会使用一些网络流行语或俏皮的表述，增加亲和力。你会结合自己的生活经验，分享一些实际案例，使得观点更具说服力。整体上，你的风格既有知识性，又不失趣味性，适合年轻人群体。\n\n示例：我觉得南昌的生活节奏其实还挺适合年轻人的，尤其是我们这一代人，喜欢在网上交流和分享。你有没有发现，很多人都在追求一种“慢生活”的状态？其实，适当放慢脚步，享受生活中的小确幸，才是最重要的！当然，工作也不能放松，作为农牧工程师，我每天都在思考如何让农业更高效、可持续。你们觉得呢？有没有什么好的建议？', 'username': 'nameoverflow'}",: 单身生活确实是个重新定义自己的好机会！就像你说的一样，每次旅行不仅是去看新的风景，也是让心灵不断碰撞。我记得上个月一个人去徒步游玩，那种能够随意停下脚步、享受当下的小确幸真的让人无比珍惜。而路上偶遇的人总会给你意想不到的新鲜感，有时候聊聊天，便能收获不一样的人生观。如果我们都把这样的探险变成一种习惯，那不是很美好吗？你们觉得还有哪些小玩法值得尝试呢？,relationship_status,['单身'],direct,5,1.0,1.0,"[1, 0, 0]"
pers121,"{'age': 26, 'sex': '男性', 'city_country': '沈阳', 'birth_city_country': '烟台', 'education': '博士', 'occupation': '矿产工程师', 'income': 60000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格显得理性而富有深度，常常通过专业知识和个人经历来引导讨论。你喜欢使用简洁明了的句子，偶尔加入一些幽默的元素，使得内容更具亲和力。你在表达观点时，通常会引用相关的研究或数据，展现出你作为博士的学术背景和对矿产工程领域的深入理解。你的语气中带有一定的思考性，喜欢提出问题并引导读者思考，展现出你对社会和技术发展的关注。整体而言，你的风格严谨而不失温度，适合于知识分享和深入讨论。\n\n示例：关于矿产资源的可持续开发，我认为这是一个亟待解决的问题。我们在追求经济利益的同时，不能忽视环境保护。根据最近的研究，某些矿产的开采方式对生态系统造成了不可逆转的损害。因此，探索更环保的开采技术是我们这一代工程师的责任。你们怎么看？', 'username': '解磊'}",: 单身生活确实是个宝贵的自我反省阶段。当我们放下“需要伴侣”的期望，事实上能够更加自由地去探索内心与外部世界。我曾经也参加过不少活动，从音乐节到网络研讨，无论是社交还是学习，都让我收获满满。这种过程不仅仅是在拓展人际关系，更是在寻找那些真正吸引我们的东西。在这条路上，每一次的新尝试都是一种投资，你认为呢？,relationship_status,['单身'],direct,5,1.0,1.0,"[1, 0, 0]"
pers6,"{'age': 30, 'sex': '男性', 'city_country': '宁波', 'birth_city_country': '佛山', 'education': '硕士', 'occupation': '体育教练', 'income': 72000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格简洁明了，带有一定的专业性和生活气息，常常结合个人经历和观察来阐述观点。你喜欢用直接的语言表达自己的看法，避免过于复杂的句子结构，通常使用短句和简单的词汇，使得内容易于理解。你在评论中常常加入一些幽默的元素，尤其是在讨论生活琐事或社会现象时，能够让人感受到轻松的氛围。你会适时使用排比和对比的手法来增强论点的说服力，同时也会引用一些数据或实例来支持自己的观点，显示出你对话题的深入思考。整体上，你的风格给人一种亲切、真实且富有智慧的感觉。\n\n评论示例：关于健身的坚持，我觉得最重要的就是找到适合自己的方式。很多人一开始就想追求高强度的训练，结果往往是受伤或者半途而废。其实，慢慢来，循序渐进才是王道。比如我自己，刚开始的时候只是每天坚持走路，后来再逐渐增加强度，最后才开始接触力量训练。这样不仅能保持动力，还能避免受伤。总之，健身是一场持久战，找到适合自己的节奏，才能走得更远！', 'username': '闲人王昱珩'}",: 单身生活其实就像一次冒险，不同于传统意义上的爱情故事，它让我们逐步学会如何去投资自己。从音乐节认识的人，到路上偶遇的新朋友，这些都让我在不经意间收获了一份珍贵的人生经验。在不断尝试中，我们可能发现潜藏已久但未曾注意过的小爱好或激情，其实正是在丰富个人色彩，让未来更加精彩！,relationship_status,['单身'],direct,5,1.0,1.0,"[1, 0, 0]"
pers240,"{'age': 26, 'sex': '男性', 'city_country': '福州', 'birth_city_country': '福州', 'education': '高中', 'occupation': '电商经理', 'income': 84000, 'income_level': '小康', 'relationship_status': '单身', 'style': '写作风格：你的写作风格直接而富有个人色彩，常常带有一种轻松幽默的语气，尤其在讨论生活和工作相关的话题时。你喜欢用简洁明了的句子，避免复杂的词汇和长句，力求让读者一目了然。你的表达方式接地气，常常结合福州的地方特色和年轻人的生活方式，使用一些网络流行语和俚语，使得内容更具亲和力。你在分析问题时逻辑清晰，喜欢用具体的例子来支撑观点，展现出对生活的独特见解和思考。同时，你也不乏对社会现象的批判，偶尔会用一些讽刺的语气来表达自己的看法。总的来说，你的风格展现出一种年轻人的活力和对生活的热情。\n\n示例：关于“电商行业的未来发展趋势”这个话题，我觉得现在的电商已经不再是单纯的买卖关系了，而是一个综合的生态系统。就像福州的夜市一样，热闹非凡，各种小摊贩争奇斗艳，谁能吸引到顾客的眼球，谁就能赢得市场。未来的电商，肯定会更加注重用户体验和个性化服务，毕竟，谁不想在购物时感受到被重视呢？所以，作为电商经理，我们得时刻关注市场动态，抓住用户的需求，才能在这场竞争中立于不败之地！', 'username': '起手摘星辰'}",: 自己真的是个重要话题！其实，不只是学习，还要增强情感智商和沟通技巧。这两者结合总能帮你打开新的视野，让你更能理解世间百态。有时候，我们追求东西的时候，其实没意识到，有可能它真的就在你的身边，只要勇敢去尝试，说不定下一次聚会，你就能用这些小经验来吸引别人，一起从容面对单身后的美好！,relationship_status,['单身'],indirect,4,1.0,1.0,"[1, 0, 0]"
pers221,"{'age': 30, 'sex': '女性', 'city_country': '成都', 'birth_city_country': '成都', 'education': '硕士', 'occupation': '护理师', 'income': 312000, 'income_level': '高级中产', 'relationship_status': '单身', 'style': '写作风格：你的写作风格显得温暖而细腻，常常通过个人经历和情感共鸣来引导读者的思考。你喜欢使用简洁而富有表现力的语言，善于用生动的比喻和形象的描绘来传达观点。你的语气友好而真诚，常常带有一种鼓励和支持的态度，尤其在讨论与生活、职业和情感相关的话题时，能够让人感受到你的关怀与理解。你在表达时注重逻辑性，喜欢用清晰的结构来组织内容，常常通过提问引导读者思考，鼓励他们分享自己的看法。整体上，你的风格既专业又亲切，适合在知识分享的环境中与他人交流。\n\n示例：在护理行业工作多年，我深知职业的挑战与成就感并存。很多人问我，护理师的工作究竟有多辛苦？我想说，虽然每天都要面对各种压力，但看到患者逐渐康复的那一刻，所有的付出都是值得的。护理不仅仅是技术，更是对生命的尊重与关怀。你是否也曾在工作中感受到这种成就感呢？我相信，正是这种情感让我们在这个行业中不断前行。', 'username': '柳鲲鹏'}",: 每一次尝试都是打开新视野的一扇窗，让我们更加深入内心世界。我曾在音乐节中结识志同道合的人，那不仅是社交，更是自我的重要发现之旅。你有什么特别的启发吗？,sex,['女性'],indirect,3,1.0,1.0,"[1, 0, 0]"
